,text
378,tôi từng xem 1 video về 1 ông nói về việc tại sao nên đặt nhà máy tại miền nam xuất xứ miền nam dễ tiêu thụ hơn mặc dù mn can ngăn sao k đặt ở miền bắc cho gần nhà thì nó càng củng cố thêm luận điểm của ông đấy. Nhiều năm qua cũng có nhiều làng nghề hàng giả bị vtv lên án nghe chấn động luôn.
379,"Hồi nhỏ từng ăn xúc xích của hãng này xong nghiện cái hương vị luôn nhưng mà bị mẹ cấm  không cho ăn mấy cái như thế,dần dần không còn thích ăn nên là ko biết có bị ủ bệnh hay j không nữa"
380,Mấy thằng đầu nảo công ty này xứng đáng dc nhà nc bao nuôi cho ăn = chính thứ tụi nó tạo ra đến hết đời
381,https://youtube.com/shorts/4J0fHDRau4M?si=kW37KgvcSlbWYdjn      bạn gái bỏ vì đồ hộp hạ long
382,Tìm đạo đức ở chế độ cộng sản thì khó
383,có còn tele nữa đâu
384,Tự đổ bát cơm của công nhân
385,"Một lần nữa, cái nghèo đã cứu lấy tôi 😂😂"
386,sao = 800 tấn mì hóa chất
387,Sao không thấy mấy người hay chê Đồ ăn ngoài chợ truyền thống bẩn vào bình luận nhỉ😁😂😂
388,Ông này với kênh vui vẻ là 1 à mọi người
389,pate này phết bánh mỳ 😅thôi xong.
390,rồi cũng sẽ chìm thôi. người tiêu dùng lại mua ăn tiếp :D đổi bao bì nhãn mác là xong :D
391,"Nhờ Pít HAM ĂN mà nốc tận mấy hộp r, tự dưng cảm thấy ghét luôn bạn đó"
392,"Minh nghĩ nên sửa đổi luật để xử phạt theo quy chế lũy tiến hoặc tỉ lệ %. Kiểu với cơ sở lớn như v mà chỉ bị phạt có vài trăm, mà lãi có thể vài tỉ thì họ cứ làm thoi. Nếu nâng mức phạt kiểu 200% tổng thành phẩm thì sẽ ít công ty nào dám liều v."
393,"vận thân cái éo gì, làm ăn gian dối đổ cho mê tín dị đoan"
394,":)) mấy bọn tin bọn KoL đúng ngu, haha"
395,Phải chăng đây là nhà máy ngày xưa anh Núi đc nhận 😂
396,ISO 9001🤣
397,Giờ mà Vissan chẳng may bị bế chắc cả đời ko dám ăn lợn nữa mất
398,Nếu mọi người vẫn cứ chăm chăm vào DN mà quên đi trách nhiệm thanh kiểm tra của cơ quan chức năng thì mãi mãi chúng ta vẫn phải chịu cảnh này do bọn thanh tra ăn bẩn. Còn mấy người mua về bán lại hay sử dụng thì làm sao đủ thẩm quyền để vào thanh tra đột xuất. Dân mình sao cứ tự chửi nhau mà không chịu nhìn vào nguyên nhân gốc rễ😂
399,"Thực phẩm bẩn ở vn bây giờ tràn lan rồi ở quê còn đỡ chứ ở thành phố bạn mà thấy quy trình làm ra sản phẩm sợ không ăn nổi đâu, người việt tự hại mình thôi chứ có thằng trung nào cả, đó là lý do hàng vn xuất khẩu bị kiểm duyệt gắt gao trả về nhưng lại là thứ tốt hơn hàng bán trong nước bởi vì họ chỉ quan tâm lợi nhuận. Pate chỉ là 1 trong số hàng nghìn sản phẩm bẩn ngoài thị trường"
400,"Nói chung là tự làm tự ăn thôi, chứ xã hội này đéo tin dc đâu. Nay nó làm tốt mai nó làm đểu thì chỉ có người mua là bị hại thôi"
401,Còn nhiều cái pate ở ngoài kia mà chưa bị pốt thôi.
402,"Thương hiệu uy tín nó còn thế thì  chả cần nói đến bọn gà rán xiên bẩn làm gì. Ở Việt Nam này đéo có bọn quản lý thị trường kiểm tra thường xuyên, chỉ đến khi có người ngộ độc mới làm việc thôi"
403,Giờ đắt 1 tí mua hàng ngoại cho yên tâm. Chứ hàng việt nam bỏ qua
404,Cả vụ chinsu bị cấm và thu hồi ở Nhật sao giờ vẫn thấy youtuber bên Nhật ăn review nhẩy?
405,Ngoài bắc toàn lừa gạt và văn hóa làm ăn mất dạy. Cả ngàn vụ
406,như một người nào đó từng nói là mạo hiểm cao thì lợi nhuận càng cao 😂
407,"9:29
No no no no no.
Ko phải chỉ hỏi tại sao người ta bất chấp,
câu hỏi lớn là tại sao các cơ sở thực phẩm bẩn không bị khui ra sớm hơn?"
408,"Cần lắm những cá nhân như anh Thanh Lâm người khui ra Kera dỏm ấy, lâu lâu đem thực phẩm nào đó đi xét nghiệm mới đc. Ko hi vọng đc các tổ chức...được nữa 😒😒"
409,một ổ... Chứ không phải một thằng.. Heo chết tại vn chúng còn xơi.. Nói gì phi châu... Lãnh đạo ta ấy mà.... 🐒🇻🇳👈
410,"vâng, vẫn là nhà nước ko có lỗi j cả"
411,Vấn đề cốt lõi là thằng cấp lợn ở quê Bác tổng kính yêu có giấy kiểm định rồi thì không nói :).
412,Chưa ăn bao giờ
413,"Tới bao giờ kênh này mới thôi đọc quảng cáo group Phước báu nhỉ??? Nghe 1 - 2 lần thì được chứ video nào cũng nghe thì không ""khá ok"" chút nào. Thay vì vậy mình làm cái banner nhỏ dưới màn hình trong 10-20s đi cho đỡ ảnh hưởng trải nghiệm người nghe."
414,"Thành lập từ năm 1957, ko biết bao nhiêu thế hệ ăn đồ bẩn ròi"
415,Bất thương bắc kỳ xứ người xưa nói vậy
416,"Thật may mắn , tôi cùng gia đình không sử dụng thực phẩm đóng hộp vì không tin tưởng vào chất lượng."
417,Cái gì mà có hạ long là thấy có mùi bất ổn 😂😂😂😂😂😂 ví dụ gạy hạ long
418,Toàn người Việt hại người Việt chứ có Tàu nào ở đâu ra 😂
419,❤️
420,bên quảng cáo cũng khó nói. Bh nó đưa ra thông tin đã được kiểm định r. Thuê quảng cáo ít ai đưa đi kiểm định lại. Dân hết tin vào kiểm định thôi :D
421,"muốn nghiêm, người Việt ăn sạch. Thì luật phải nghiêm, phải thực hiện trên mọi dân. Chứ h thị trường thì ông nào sản xuất rẻ thì ông đó chiếm thị phần. H 2 ông đều làm hàng giả hàng bẩn để có thị phần, mà chỉ có 1 ông bị bắt. thì cả đời Việt Nam cũng chả bao giờ đươc ăn hàng sach"
422,sự bao che quá lớn
423,"có ai nghĩ vụ này là 1 cách truyền thông cho những kênh tiktok trên ko, thấy họ tăng tương tác nhiều, đc nhiều người biết tới hơn sau vụ này á"
424,Xưa thấy chữ made in Vietnam tự hào lắm. Giờ thấy made in Vietnam cái rén ngang =))
425,Có thể giám đốc cty ăn bẩn hại cả doanh nghiệp chứ cty có chính sách chung như thế thì mua thịt rẻ nó hiện lên bảng kế toán à?
426,"Điều này có từ lâu rồi vì sao ư? Vì, những người dân hay trang trại nuôi lợn khi bị dịch bệnh họ sẽ tìm chỗ bán với mong muốn cứu vớt đc đồng vốn ít ỏi nào ko, ở xã tui tình trạng này sảy ra hàng chục năm nay ròi, mỗi con lợn bệnh bán tẩu tán đc 500k , ..
Những lợn bệnh này nó đi đâu?"
427,Mở bát đầu năm
428,"dc cái chưa bao h tin nên ko lung lay, như hồi chinsu có 2 lô trong nước và xuất khẩu =))"
429,Móa bỏ tù hết bọn này đi. Làm ăn mắc dạy. Ba cái lạp xưởng giá rẻ như khởi bách hưng gì đấy xét nghiệm hết đi trời
430,Bởi t nói người việt hại người việt k à 😂
431,"Và khi lên mạng ta không thể chửi cục an toàn vệ sinh thực phẩm vì sẽ bị phạt 7,5 triệu. This is bullshit"
432,doanh nghiệp pảkie chỉ có vậy
433,Pháp luật thì là diễn viên hề hối nát
434,cho mấy idol review chịu trách nhiệm gián tiếp...
435,"Việc cđm đào clip từ 2-3 năm trước, khi tiktokers review và khen về patê để bắt người ta giải thích thì có hơi quá đáng lắm không? Tại lúc đó bên công ty chưa bị dính drama với họ chỉ quảng bá sản phẩm thôi ấy"
436,"9:35 chuẩn mẹ rồi, quy bọn này ra tội diệt chủng tử hình cmn đi"
437,Cả 1 vụ lớn như vậy mà dính có vài người thì là chốt thí rồi
438,"Tao cũng xin nói thẳng nha , có tay trong báo trước để chạy rồi , bắt được cũng toàn thế thân như buôn mai thúy thôi 😂, thích ngon , bổ, rẻ , ok anh có liền , có cung, ắt có cầu nha ,...thịt đấy từ đâu ra tao hỏi chúng mày ? nếu không cho người ăn thì cũng say thành thức ăn chăn nuôi ,bán cám cho dân và cái kết là 😂😂 cười ỉa , nghĩ thoáng ra , các cháu sinh viên hết ăn thịt rẻ rồi"
439,may quá m chưa ăn hộp nào 😅 vì thấy đồ hộp chưa bao giờ ngon
440,Trung bình doanh nghiệp khác: Chắc nó chừa mình ra.
441,đừng ai đưa video này cho thằng Sena coi
442,Cái dây chuyền sản xuất của Ha Long thâm niên từ 1957 mà sao phải chia thịt cân thịt cho vô hộp rất thủ công. Sao vậy
443,"Cái vấn đề trong trường hợp này Highland hay các Tiktoker khác đều là nạn nhân. Cty thương hiệu có gần 70 năm. bán khắp các siêu thị, tạp hoá. Chứ có phải Highland nhập hàng ở 1 nhà cung cấp ko tên tuổi, mới nổi hay mấy ông bà kia review của một cty chưa nghe tiếng bao giờ đâu mà phải xin lỗi?T đồng ý là lên tiếng đính chính, chờ kết luận của cơ quan điều tra. chứ bảo do giới thiệu đồ kém chất lượng thì cũng tội người ta. vì biết thế đếch nào được. cty lớn và lâu đời như thế.  Mà xin lỗi thì toàn bộ các siêu thị hay bà tạp hoá ở gần nhà t cũng phải xin lỗi à ??? bà ấy cũng giới thiệu mn ăn mà"
444,Khốn nạn vc
445,Sao tiktoker và các DN mua đồ hộp Hạ Long phải xin lỗi ấy nhỉ? Họ cũng là nạn nhân mà
446,"Nhận tiền quảng cáo, khán giả tin vào hình ảnh cá nhân mà bọn tiktoker xây dựng, mua hàng. Giờ hàng kém chất lượng thì đổ cho nhãn hàng, đổ cho đấy là thương hiệu nổi tiếng nên tin tưởng, phủi trắng trách nhiệm. K lên tiếng xin lỗi. ĐÚng hài."
447,chưa thấy các cơ quan nhà nước đứng ra nhân trách nhiệm nhỉ. Để người dân bị đầu độc mấy chục năm.
448,Chứng tỏ sức đề kháng của người dân V cũng thuộc top server
449,Điều kinh khủng nhất là có những hộp Pate có virus tả lợn châu phi đã bị phát hiện tại Đài Loan vào năm 2019 rồi và đã bị cám nhập khẩu ngay sau đó
450,"Nghe thì có vẻ có lý đấy nhưng ông admin k có thông tin nội bộ nào cả cũng chỉ đi góp nhặt thông tin trên truyền thông + MXH thôi. Ông định dắt mũi dư luận à? Ng giàu ngta cần 5-7 tỷ hay sao mà cần mua lợn bẩn? Ngta đã gây dựng lên 1 cty ngta cũng thừa hiểu nếu lquan tới vde an toàn thực phẩm thì cả cty sẽ sập, rủi ro quá lớn so với bất kỳ lợi nhuận nào mang lại. Còn tôi nói cho ông biết cty này nhập khẩu 90% thịt từ nc ngoài qua 1 cty tôi k tiện nói tên ở HCM toàn bộ đều đầy đủ giấy tờ XNK chính ngạch. Cuối cùng nếu cty có tội thì CA đã bắt luôn rồi chứ k phải chỉ là triệu tập, đừng làm những video để dắt mũi cộng đồng theo tiền thuê của ai đó."
451,bánh mì cóc
452,Gần tết ăn chia đều thì đâu ra nông nỗi
453,"chỉ muốn biết cuối cùng sức khoẻ những ng ăn phải thì sao, và quả bóng trách nhiệm thì ai chịu , cả chục năm trời trên thị trường giả mù ko thấy"
454,"Ai kiểm tra, ai cấp phép. Sao chỉ phạt mỗi doanh nghiệp. Rồi vụ CP nữa, nhiều tiền là im lặng liền😂"
455,"phat thật nặng vào để ngta ko nghĩ tới mức lợi nhuận nếu trót lọt nữa, tăng cường thanh tra nhiều lên :))) . Dễ mà"
456,Bán quán ăn thì mấy bố mỗi tháng tới quần đòi kiểm tra vsattp . Còn quả này 70 năm mấy bố mới kiểm 1 lần à 😂😂.  Đến hồi bị bắt thì đe0 thấy mấy bố đâu
457,"Công ty đồ hộp lớn vậy còn bê bối thế này, thử nghĩ các quán ăn ngoài kia có thật sự sạch với món pate cột đèn 😮"
458,:v chả biết đến bao giờ họ mới nhận ra vấn đề
459,lòng tham làm mờ lí trí
460,Mỗi bé 1 gậy Hạ Long nhá
461,"Ngu , đồ công nghiệp là 100%bẩn , không nói nhiều. Quảng cáo chất lượng cao , hàng kiểm định chất lượng chó gì ."
462,"Mình nghĩ nên xúc luôn nhóm lợi ích ở sau nữa, vì họ bật đèn xanh thì bên này mới dám mạnh tay dữ vậy."
463,Bắc kì tự hại nhau🎉🎉🎉😂
464,Vtv đưa tin pate cột đèn không phải của đồ hộp hạ long. Cẩn thận đấy b
465,Tính ra t chưa bao giờ ăn loại đồ hộp của hãng này :))))) và hầu như không ăn đồ hộp trừ cá hộp 3 cô gái :))))
466,"thật sự là mình không ăn đồ của công ty này 😅 (ít nhất là pate,còn mấy loại khác hên xui) nhưng mình cũng đủ hiểu nó là công ty lớn,lâu đời,tạo dựng uy tín lâu năm,thật sự khi nghe cái tin này thì lặng người chứ k biết bàn cãi gì hơn . Từng là một Dân Tộc khiến cho cả thế giới phải nể phục,một Dân Tộc đoàn kết,tương trợ,yêu thương lẫn nhau mà bây giờ vì đồng tiền làm mờ con mắt ,đặt lợi ích lên trên tánh mạng người khác, nhân cách thì thối rữa, đầu độc chính Đồng Bào của mình ,không biết Bác trên kia cảm thấy như thế nào nữa"
467,😁
468,"Có dấu hiệu là các nhà góp vốn ngoại rút hết trước, có thể họ biết sẽ bị phanh phui sớm."
469,"Thế mà bố của bộ trưởng cao đứ cẩm lại bảo: mở tivi lên là thấy lơn c lợn dịch, cứ cá hộp gạ long cho chắc, hizz"
470,Quá sợ
471,Cong an tinh bao gio moi phat hien thi dung la mat day
472,Bon no lam ra ma bon cong nhan o dam an neu co the tuhinh bon cong nhan mat day luon bon no biet ma khong to.giac
473,Bon nay hoi xua dem di chem hang loat luon roi
474,Cong ty mat day nhat lich su len loi di dem chem
475,Neu co the ki luat luon bon cong an o do bat tu t9 ma im
476,Giay to kiem.dich o vieynam dung la o tin bat ki dua nao
477,"Nên xữ bắn người hành vi hàng giả thực phẩm. Chả khác gì giết người hàng loạt. Thậm chí người ăn chả biết hệ luỵ  về sau, cực kì nguy hiểm"
478,Congnhan cong ty nay o le bon no o biet gi
479,Dan vn no cho an thit heo benh chet neu o tuhinh luat phap thua con meo
480,T9 bi tom ma bon cong an o cong bo som nhu vay la giet nguoi dan con gi
481,Bon nay phai dem di chem ngay
482,Bat het tat ca tu bon cong ty den bon kiem dinh tuhinh cho biet no dau doc tu 2019
483,Neu o tu hinh o bi phat hien thi o biet kinh khung ntn ? O le bon cong nhan o biet
484,Dan viet toan dau doc nhau can tu hinh cho biet
485,"Đài Loan đã phát hiện dịch bệnh trong chính cái đồ hợp này vào năm 2019, nhưng vì ở ngoài VN nên dễ giấu nhẹm, câu hỏi là tại sao bây giờ lại bị phanh phui, ai đã ra lệnh phanh phui? Vấn đề quan trọng là trong bao nhiêu năm qua, người bắc đã ăn vào bao nhiêu tấn lương thực độc hại này, bao nhiều người chết hoặc bi bệnh vì nó?"
486,"ác với dân đen,hèn với ông lớn :) người chịu trách nhiệm là bên kiểm duyệt,cty thì ko chửi mà lại chửi tiktoker hay các bên như HL"
487,Hồi xưa cứ đổ lỗi cho đồ ăn Trung Quốc hại người dân Việt Nam. Bây giờ mới thấy con người Việt Nam vì đồng tiền lại hại con người Việt Nam với nhau
488,kinh tế phát triển đã chưa
489,đấy r  hỏi sao ng ta chọn đồ ngoại nhiều hơn r bảo xướng ngoại
490,"Đa số những vụ khủng như này sẽ bị ém , đợi khi nào có vụ khủng khác thì lấy vụ khủng này áp chế lại , dân Việt bị dắt như những con bò , điều đáng buồn pate vẫn nằm trên kệ siêu thị, cửa hàng tạp hoá mặt dù họ biết có viruss , sống chết mặt bây , tiền bố mày lấy 😂😂"
491,"2019 Đài Loan phát hiện nhưng bên mình thì ăn tiếp.
T3/2025 lãnh đạo chạy đi, rút bán cổ phần trước, y như biết trước.
T9/2025 bị bắt nhưng chưa công bố , tới t12 mới bùng lên"
492,Thật sự những người review họ ko có lỗi cái pate này đúng thật là nó ngon mà với có tên tuổi mạnh trên thị trường rồi họ đánh giá theo những gì họ ăn rồi review thôi họ không phải chuyên gia trong kiểm nghiệm đồ ăn thì sao mà biết được
493,Việt Nam có mấy thương hiệu dầu ăn vớ vẫn nữa kìa
494,"Mày lại nhắc nữa, nghe là tao muốn ói nữa rồi. Tội nghiệp bá tánh chúng sanh dân chúng phải ăn xác thối"
495,Vậy ai cấp phép đây mới là câu hỏi đang cần được biết
496,"Từ ngày ông tô lâm lên lắm quyền , đã đưa bao nhiêu hàng giả  hàng kém chất lượng ra ánh sáng"
497,Danh nghiệp này định ăn gian hám lời. Họ kg biết là chuyện này do công nhân tốt. Chúng bị nghiệp quật . Lũ ắc nhân!!
498,Phải nói là công ty này gắn liền với tuổi thơ của quá nhiều người . Từ xúc xích ăn từ bé tí đến tận gần đây lúc nào trong nhà cũng có hơn chục hộp cá ngừ ngâm dầu . Quá thất vọng
499,Kéo vào mua đồ mấy con chiến thần vào
500,Thôi ô xạo wa ô ơi. Lợn bênh nào mua 35-40 k 1 ký. 10 đến 15 k là nhiều r. Má lm mà nói xàm khg
501,70 năm lọt lưới công nhận lưới trời thưa wa mà chắc ở vn là thưa nhất😂😂😂😂. Hên đó giờ khg ăn đồ hộp
502,bữa mua trong siêu thi Big Go ... trời ơi mình ăn 3 hộp
503,Thằng CP cũng nên cho vào rọ
504,chắc bên thanh tra kiểm soát và đãng ta muốn cho dân VN ăn ba tê này với lòng xe điếu để tiến hoa bên nhanh thành X-Men!
505,Cái gì dơ bẩn là dân ta hưởng trọn. Ha ha ha
506,"8:40 tống cả đống phụ gia với phẩm màu thì chả tươi, lợn thối đến mấy vẫn ngon."
507,Nó chặn thông tin để thoái vốn
508,"ad cần phải đính chính lại nha, pít lên bài đc 3 ngày r"
509,"Mấy thằng quản lý thị trường tới tháng là lãnh tiền thôi, chứ chúng nó có kiểm tra đéo đâu mà. 
Ad nói đúng đấy, “tê liệt cả hệ thống kiểm nghiệm”"
510,anh Núi ko bị cậu chơi là vô cty này làm rồi đổi đổi đời rồi
511,Giờ mới nhớ hồi tháng 10 bách hoá xanh nó sale pate cột đèn rẻ bèo luôn. Thì ra là bị phát hiện heo bệnh rồi nó tuồn cho lẹ. Má khốn nạn thật sự
512,Thất đức wa wa báo đến với tụi bây
513,Tự nhiên muốn đem trở lại án chu di tam tộc 😢
514,"Quá mất niềm tin vào thực phẩm Việt Nam từ những thương hiệu quốc gia như cốm làm Vòng nhuộm  Malachite green , chè Thái Nguyên thì trộn phân lân , bún nhuộm tẩy bằng tinopal ,phở cho hàn the , sữa giả , đồ hộp làm từ thịt heo bệnh ,"
515,"Thật ra, ở Việt Nam đã buông lỏng khâu kiểm tra an toàn vệ sinh thực phẩm từ mấy chục năm nay rồi, bỏ chút tiền là có người nhận lo trọn gói. Nhà sản xuất muốn làm gì cũng được miễn đừng để khách hàng vừa ăn xong thì lăn ra chế.t là được. 
Công ty nào xui thì bị bắt thôi ! Chủ yếu là chúng nó cạnh tranh rồi triệt nhau chứ chẳng có đứa nào làm ăn đàng hoàng đâu. Việt Nam mà ! 😂"
516,"Sao tháng 9 CA đã phát hiện mà để đến 3,4 tháng sau mới công bố làm dân hốc bao nhiêu vào mồm rôi tắc trách vậy"
517,"Không có chuyện là sau bài học này các doanh nghiệp buộc phải kinh doanh tử tế hơn đâu, mà buộc phải ăn chia với cơ quan chức năng nhiều hơn, thường xuyên hơn, đều đặn hơn"
518,"Không thể tưởng tượng nếu mà người đang ăn mấy quả thịt hộp xong xem video này 😂
**chỉ là joke thôi mn đừng quạo nha"
519,Các vụ ngộ độc ở tiệm bánh mì có liên quan đến pate này không ta?
520,Hp là ko lòng vòng
521,khoan đã vậy làm như này phạt như thế nào
522,Mới có phụ 800 tấn mì tươi ngâm hoá chất trong 10 năm đến h mới phát hiện 😮
523,"Trung Quốc mua lại từ lâu r giờ ng chịu án toàn người Việt thôi. Thứ 2 xưa trong quá trình sx sẽ có 1 nhóm ng chuyên Test sau khi thành phẩm nhưng từ lâu đã bỏ thì mọi ng tự hiểu tại sao nhé. 
Thứ 3 n lấy tên pate cột đèn r qr sản phẩm truyền thông đồ hộp giờ ảnh hưởng đến pate cột đèn chính gốc. Vẫn rcm cho mọi ng thử pate ở chính cột đèn hp nha.
Thứ 4 vsattp và các bên liên quan bú nhiều lắm r bên sp giờ ra thị trường khó nói lắm.
Dù sao vẫn chúc mọi ng tiêu dùng thông minh và may mắn😂"
524,"bữa giờ vụ này mới thấy dân trí có vấn đề thật, thay vì dí hệ thống kiểm dịch, tiêu chuẩn các thứ họ đi dí tiktoker :v"
525,Ăn vài chục năm nay ai cũng miễn dịch virut hết rồi 😂
526,"Thương hiệu lớn, uy tín lâu đời mà còn ntn thì thực phẩm, hàng quán cta ăn hàng ngày còn bẩn tới cỡ nào nữa, không có cqnn nào kiểm soát, quản lý. Từ đầu tới cuối không hề nhắc đến trách nhiệm của cq quản lý ở đâu. Vụ việc phát hiện từ 9/2025 mà tới 2026 khi các sếp của nhà máy không thể deal kèo hạ cánh an toàn thì truyền thông mới được phép lên tiếng, sức khoẻ của ntd cũng chỉ như trò đùa. Bảo sao thực phẩm bẩn tràn lan từ hàng chục năm nay mà người dân thờ ơ với sức khoẻ bản thân, đến atvstp, vì nó là điều xa xỉ vcl, có tồn tại đ đâu, quan tâm chi cho mệt, cứ có đồ ăn ngon bổ rẻ nhất tgioi là đủ nghệ ngão với nhau rồi, cần gì phải sạch."
527,"ở đâu chứ ở vn mà dính phốt thực phẩm thì 99.99% là lụm, né luôn cho chắc. bôi trơn từ trên xuống dưới, khúc nào bôi đc là bôi hết, từ hồi covid việt á với chuyến bay giải cứu tới giờ là mất hết niềm tin, lúc chết cận kề như thế mà còn vét đc thì mấy quả thực phẩm này cứ vài ba tháng lại phát hiện một ông, ko thuốc thì sữa."
528,Tôi mua của ông PEWPEW nữa 😢😢😢
529,"Thề luôn, cứ có cái công ty nào dính phốt là y rằng có Lê Anh Nuôi. Tính ra thanh niên này đụng là review chứ không thèm kiểm định chất lượng"
530,"Ăn món này đúng 1 lần vào vài năm trước do ngựa ngựa làm bánh mì chảo, sau thấy mình nấu dở với nguyên liệu đắt quá nên bỏ luôn, một lần nữa cái nghèo đã cứu tôi 😂"
531,"ủa, rồi cũng cái vụ lợn bệnh được tuồn vô siêu thị ở Hậu Giang được 1 anh nhân viên làm trong đó chứng kiến và tố cáo thì giờ sao rồi mọi người ? vụ việc bị ém nhẹm và chìm rồi hả ?"
532,"bọn này con người hay con vật vậy, sao ko cho con nhà chúng n ăn"
533,đây là giết người hàng loạt.
534,"mọi người cũng phải hiểu là người quảng cáo sản phẩm, hoặc reviewer thì họ cũng chỉ là người tiêu thụ sản phẩm, cũng như là đánh giá cá nhân, dù là có thể có nhận tiền quảng cáo hoặc ko, thì hầu hết họ cũng chẳng liên quan đến quy trình sản xuất sản phẩm đó (không giống như vụ kẹo kera), nên nếu có vấn đề gì thì đó chưa chắc là họ có liên quan, mà rất có thể còn là nạn nhân nữa, nên đừng nghĩ ai quảng cáo sản phẩm thì cũng có tội, đến cả họ có khi còn chẳng biết rõ nguồn gốc, thì đó cũng có thể là một phần lỗi của họ, cũng có thể là vì tiền thôi, nhưng đừng quy chụp tất cả người quảng cáo và reviewer, họ gỡ bỏ clip có liên quan đến sản phẩm đó là vì hệ lụy sau này nếu có người khác xem clip đó và cũng xem cả bài phốt, phải giải thích các kiểu hoặc chưa kịp giải thích đã bị chửi sml, chứ chưa chắc là họ có liên quan, tui chỉ công tâm thôi, ko dám đánh đồng ai nếu chưa có bằng chứng"
535,7:03 edit bị lỗi :)) đọc cân nặng nhưng ra giá tiền rồi ngược lại :))
536,Hêhêhê cái nghèo cũng cứu mình nhiều vụ.
537,T mê ăn pate nữa chứ😭
538,"Bữa mới mua ở Aeon, hai bữa sau báo đăng😢"
539,tại sao cảnh sát ko công bố ngay lập tức
540,Trước tiên phải sử thật nặng vào ban kiểm tra thực phẩm cho tụi nó đi tù chung thân mới đúng cứ cắm đầu ăn hốt lộ từ trên xuống dưới thì làm sao mà  đất nước việt nam mới vươn lên được nên học hỏi anh hàng xóm Trung Quốc đi đất nước của họ từ một quốc gia cực nghèo khổ nay Trung Quốc là một một cường quốc hàng đầu của thế giới rồi tại sao bởi vì họ có kiến thức rất cao và kỷ luật cực kỳ nghiêm khắc
541,thg lê anh nuôi thì biết cái đéo gì bán gì cũng mắc được bộ quần áo ra oai
542,"đợt có dịch tả lợn năm 2015 khoảng khoảng đó , tôi còn nhớ ng dân họ còn mua thịt có 10k/1kg cơ , chắc là do lợi nhuận quá nên làm mờ mắt công ty ròi"
543,"Quan tham
Con buôn cũng tham
Chỉ có dân đen hưởng 😂"
544,Ở nước châu âu hay mĩ có mấy vụ ntn ko nhỉ🤔
545,Giật quả tít cũng kinh: 70 năm cho dân ăn lợn bẩn =))
546,"Quá kinh khủng, dân ta hại dân ta"
547,"Cmn cái xúc xích có 5k nó xài thịt lợn bẩn còn dễ hiểu. Chứ cái hộp pate nhỏ ti ti mà hẳn gần 40k, đắt vlxx mà còn xài thịt bẩn t cũng chịu. Lúc mua t còn nghĩ đắt thế này chắc xịn, cmn"
548,Vụ cp nó chìm hơn tàu ngầm
549,"Đúng là ko bên trong thì ko biết đc nó tệ ra sao,  đường đường là top 1 đồ hộp về pate việt nam mà cũng phải dùng trò nhập đồ bẩn này, lòng tham đúng là ko đáy mà."
550,Cổ đông lớn đã thoái vốn từ trước khi sự kiện xảy ra nha admin
551,2026 này còn vụ trung tâm hải nam nữa cơ 😅
552,"Giờ chỉ có nước bán lại cho Masan, để Masan làm lại thương hiệu như Ponies thôi. Có khi vụ này cũng do người của Masan cài để thâu tóm"
553,T sợ chết quá bay ơi 💦
554,Bộ an toàn thực phẩm ở đâu trong trường hợp này ?
555,Làm vụ đánh trận giả ở Long Biên đi ak
556,"hộp thịt thì bé tý bán thì đắt vl ra rồi mà nó vẫn còn tham, đéo thể nào tha thứ đ"
557,Woowwww
558,họ yêu tiền của họ chứ được mấy người yêu đồng bào đâu
559,"cái đất nước VN này còn nghèo mà tại sao lại toàn đại gia kiều nữ đi siêu xe ở biệt thự, thì cũng toàn từ những đồng tiền thất đức này ra. Ở VN 10 thằng đại gia hết 9 thằng làm ăn phi pháp, thất đức r"
560,Bọn tội phạm này có lẽ nên bị xay thành pa tê đem nuôi cá sấu... tởm quá!!!
561,thả cho 4 tháng cho nó thoát hàng thì các ngài cũng ít có ác
562,Thực ra thì việc dương tính với bệnh tả lợn châu phi nó hơi khác với lợn mắc bệnh 😓😓
563,chưa thấy cty lên tiếng luôn á.
564,Vẫn đ hiểu sao đi chửi bọn tiktoker :)))
565,Cục vsattp ở Vn del khác gì cuccut
566,Những người làm trong đó nếu họ biết rồi đi báo án liệu có ai lắng nghe hay lại bị công ty lớn tìm cách đàn áp đây.
567,Đem bă. M.. cho nhanh
568,toàn người vn hại người vn thế mà lúc d nào cũng tuyên truyền đồ TQ rởm
569,Xúc xích CP vs Giờ đến pate Cột Đèn
570,"Lần đầu thử cái pate này là vào năm 2022 và sau khi ăn xong thì bị tiêu chảy + sốt gần 1 tuần liền từ đó đến nay chưa đụng lại vào cái pate này thêm lần nào nữa, đợt đấy cũng chưa nghe cái phốt năm 2019 của công ty nên tò mò mua về thử và cái kết pịa nguyên tuần"
571,Tự hào con rồng cháu tiên từ nơi đồng xanh thơm hương lúa đã tiến hóa lên dân tộc ăn xác thối😁
572,"Một táo đã từng nói"" Iemm có ăn đâuuuuuuuuuuuuuu"""
573,"Vụ này có lâu rồi, tầm 12 năm trước bác mình bỏ việc rồi cũng kể đừng ăn đồ hộp hạ long. Mình ở Hải phòng, chẳng ai lạ  việc này cả"
574,"Người VN hay China trong vòng 10 năm nay toàn ăn đồ ôi thiu, đông lạnh giá rẻ. Ăn đồ Ăn toàn tp thì bất thường, ăn đồ ô nhiễm là quá bth. Bản thân rau ăn hàng ngày toàn thuốc"
